iter	Passed	Remaining
0	251	754943
1	291	436456
2	412	411989
3	451	337977
4	539	323207
5	659	329298
6	733	313435
7	749	280187
8	866	287947
9	924	276282
10	1049	285138
11	1183	294605
12	1215	279318
13	1255	267681
14	1374	273537
15	1444	269481
16	1490	261557
17	1621	268683
18	1689	265037
19	1809	269554
20	1847	262058
21	1968	266399
22	2005	259574
23	2020	250571
24	2145	255339
25	2269	259617
26	2396	263912
27	2469	262093
28	2591	265447
29	2716	268903
30	2840	272056
31	2965	275013
32	3013	270952
33	3152	274991
34	3279	277842
35	3408	280672
36	3528	282601
37	3597	280413
38	3723	282727
39	3827	283245
40	3953	285305
41	4083	287602
42	4108	282507
43	4124	277072
44	4269	280382
45	4402	282699
46	4561	286590
47	4694	288734
48	4823	290490
49	4867	287181
50	4999	289079
51	5016	284424
52	5165	287198
53	5291	288702
54	5420	290234
55	5446	286309
56	5464	282158
57	5573	282714
58	5688	283566
59	5772	282875
60	5847	281732
61	5903	279749
62	6063	282657
63	6086	279226
64	6139	277208
65	6184	274920
66	6263	274183
67	6371	274703
68	6424	272883
69	6539	273740
70	6617	272977
71	6694	272233
72	6734	270028
73	6745	266739
74	6832	266476
75	6910	265858
76	6920	262703
77	7000	262249
78	7011	259258
79	7109	259492
80	7194	259264
81	7281	259099
82	7361	258710
83	7370	255850
84	7448	255455
85	7563	256279
86	7656	256358
87	7740	256128
88	7825	255948
89	7910	255775
90	7941	253874
91	7956	251495
92	8034	251156
93	8117	250944
94	8135	248770
95	8224	248792
96	8317	248923
97	8328	246616
98	8409	246417
99	8478	245872
100	8499	243948
101	8519	242042
102	8581	241376
103	8594	239315
104	8657	238691
105	8682	237036
106	8747	236510
107	8817	236104
108	8856	234910
109	8933	234697
110	9024	234869
111	9054	233485
112	9138	233478
113	9148	231598
114	9170	230061
115	9230	229486
116	9297	229094
117	9306	227290
118	9318	225591
119	9384	225220
120	9409	223890
121	9478	223594
122	9500	222208
123	9564	221828
124	9577	220272
125	9640	219888
126	9708	219615
127	9779	219422
128	9788	217858
129	9854	217563
130	9919	217234
131	9986	216981
132	10025	216111
133	10094	215892
134	10188	216226
135	10284	216576
136	10359	216489
137	10437	216463
138	10449	215073
139	10522	214961
140	10596	214856
141	10668	214728
142	10746	214712
143	10822	214637
144	10888	214391
145	10965	214346
146	10988	213260
147	11000	211985
148	11008	210642
149	11075	210431
150	11157	210506
151	11180	209489
152	11250	209348
153	11327	209333
154	11401	209277
155	11411	208044
156	11425	206890
157	11494	206755
158	11561	206587
159	11632	206479
160	11665	205696
161	11738	205637
162	11786	205139
163	11855	205021
164	11877	204084
165	11944	203920
166	11966	202992
167	12041	202981
168	12080	202358
169	12093	201320
170	12171	201361
171	12246	201362
172	12312	201207
173	12335	200341
174	12404	200244
175	12486	200349
176	12578	200616
177	12662	200757
178	12734	200698
179	12807	200644
180	12835	199907
181	12906	199832
182	12982	199841
183	13057	199843
184	13077	198993
185	13152	198977
186	13229	199003
187	13302	198976
188	13387	199111
189	13455	198997
190	13529	198973
191	13599	198893
192	13647	198492
193	13715	198386
194	13796	198463
195	13868	198399
196	13893	197682
197	13971	197716
198	13989	196911
199	14002	196038
200	14078	196048
201	14153	196049
202	14167	195206
203	14233	195084
204	14305	195049
205	14324	194280
206	14398	194277
207	14482	194393
208	14566	194522
209	14640	194510
210	14666	193862
211	14699	193310
212	14773	193302
213	14788	192522
214	14801	191733
215	14867	191626
216	14936	191557
217	14951	190804
218	15010	190608
219	15019	189793
220	15038	189099
221	15111	189102
222	15121	188310
223	15198	188354
